username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
devianasdf,shitposting is lyfe. ibu kos tapi bukan ibu ibu.,lalala♪,125,329,70176,2011-03-21 08:35:36,2020-08-04 23:59:59,444,"63 killed and 3000 injured in #BeirutExplosion so far. Many hospitals in beirut are full, and patients being taken as far as Nabatieh &amp; Tripoli. God only knows what poison we are inhaling and what the long term effects will be. Heart is breaking into a million pieces tonight 💔","[{'text': 'BeirutExplosion', 'indices': [47, 63]}]"
rrwicak,Easily forgotten pleasure,Semarang,186,189,2180,2018-06-29 07:40:40,2020-08-04 23:59:59,96,"Did you see something in the circle.? 
What is this in the circle?
I think there are something behind this story 🤔🤔
#بيروت
#Beirut https://t.co/4093NxahIU",[]
agusma04,"soy fan de todo el mundo, retwiteo todo lo que veo y peleo con onvres","Rosario, Argentina",725,126,4421,2019-01-03 14:40:27,2020-08-04 23:59:59,89348,how you can help lebanon; a thread,[]
bagongfiIipina,the new Filipina is first and foremost a militant / @diwaVC @dlsushssc @animoMUN @TheAnimoSHS,she/her #hst,756,1017,12627,2015-06-07 06:36:18,2020-08-04 23:59:59,5556,"Following the explosion in #Beirut, several hospitals have been destroyed, at a time when COVID-19 cases exceed 5,000 today. #Lebanon https://t.co/PKiOEcOiew","[{'text': 'Beirut', 'indices': [43, 50]}]"
nyctobelle,somniator | @MCLkamalayan,ph–ca,329,636,11285,2014-07-27 06:54:10,2020-08-04 23:59:59,565,since a lot of people don’t wanna click on a carrd here’s a brief post about lebanon https://t.co/fPtkRcRmLP,[]
lovelyn_dulos,NUBABE❤,,235,156,6493,2016-06-25 08:49:21,2020-08-04 23:59:59,1752,"#BeirutBlast
-67 people killed and some 3,600 injured
-Lebanon PM blames ""2,750 tons of ammonium nitrate"" stored at port
-Trump says U.S. military officials “seem to think it was an attack""
-Explosion happened during grace period before another lockdown

Video via @QuickTake https://t.co/Pc8QYoYITu","[{'text': 'BeirutBlast', 'indices': [14, 26]}]"
mylilbabybil,do your thing baby,,258,827,12169,2018-11-18 04:58:55,2020-08-04 23:59:59,58,Please use the same effort that was put in to the streaming party to donate to Lebanon. Even a little bit of money helps: https://t.co/1F7ql0dphH,[]
dynamiteatz,"bangteez... that’s all, I have to say.",nyc she/her,991,2758,80189,2018-02-17 00:14:26,2020-08-04 23:59:59,1355,"what happened today in #Lebanon - 4th of August
a thread

please take some of your time to educate yourself about this huge incident

this thread will contain petitions and donations
⚠️rt to help spread awareness⚠️

TW// fire, explosions https://t.co/HctDKOogws","[{'text': 'Lebanon', 'indices': [37, 45]}]"
Nuraz_Wawa,🌸 بِسۡـــــــــمِ ٱللهِ ٱلرَّحۡـمَـٰنِ ٱلرَّحِـــــــيم 🌸 🌸 لا إله إلا الله محمد رسول الله 🌸,"Perak, Malaysia",1848,3059,714737,2012-04-04 10:57:29,2020-08-04 23:59:59,1540,"These videos of the blast in Beirut are INSANE, and I was literally just reading about the 1917 explosion which obliterated Halifax. Lebanese officials are blaming a ship or warehouse full of fireworks. Must have been a lot to spark a shockwave like that. https://t.co/xqmPzaDVAK",[]
_Kiinderr,A diehard Madridista since 2005 | اللهم إني اسألك حسن الخاتمة لي ولوالداي💙,Santiago Bernabeu ,393,2407,56503,2013-01-26 21:10:32,2020-08-04 23:59:59,0,Our thoughts and prayers are with our Lebanese brothers and sisters during these trying times. We pray that God grants you patience and solace. God bless Lebanon and the Lebanese people. #BeirutInOurHearts,"[{'text': 'BeirutInOurHearts', 'indices': [187, 205]}]"
